"Note: All values in the input file are text strings.  The ""Type"" column below indicates the internal type the string is converted to using standard C++ conversion rules.  Ex: 2.677 in an integer field is converted to 2.",,,,,,
Exposed Variable Name,Internal Associated Variable,Type,Min,Max,Description,Interpretation
WeatherFileName,,String,N/A,N/A,Absolute file path,Location of weather file
SimStart,,Date,1/1/100,12/31/9999,Commonly used date strings.,Sets the start date of the simulation.  Must be within dates contained in weather file
SimEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,Sets the end date of the simulation.  Must be within dates contained in weather file
ICDroneAdults,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of drone adults
ICWorkerAdults,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of worker adults
ICDroneBrood,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of drone brood
ICWorkerBrood,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of worker brood
ICDroneLarvae,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of drone larvae
ICWorkerLarvae,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of worker larvae
ICDroneEggs,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of drone eggs
ICWorkerEggs,,Integer,0,,Max value only constrained by data type,Initial Conditions for simuation - # of worker eggs
ICQueenStrength,,Float,1,5,,"Initial Conditions for simuation - initial queen strenth. 1=weak, 5= string"
ICForagerLifespan,,Integer,4,16,,Initial Conditions for simuation - forager lifespan in days
ICDroneAdultInfest,,Float,0,100,,Initial Conditions for simuation - % adult drones infested with varroa
ICDroneBroodInfest,,Float,0,100,,Initial Conditions for simuation - % drone brood infested  with varroa
ICDroneMiteOffspring,,Float,0,,,Initial Conditions for simuation - number of mite offspring per infesting mite
ICDroneMiteSurvivorship,,Float,0,100,,Initial Conditions for simuation - % of mites surviving and emerging from capped drone brood
ICWorkerAdultInfest,,Float,0,100,,Initial Conditions for simuation - % adult workers invested with varroa
ICWorkerBroodInfest,,Float,0,100,,Initial Conditions for simuation - % worker brood infested with varroa
ICWorkerMiteOffspring,,Float,0,100,,Initial Conditions for simuation - % of mites surviving and emerging from capped worker brood
ICWorkerMiteSurvivorship,,Float,0,100,,Initial Conditions for simuation - % of mites surviving and emerging from capped drone brood
ImmType,,String,N/A,N/A,"Valid strings are: None, Sine, Cosine, Tangent, Exponential, Logarithmic, Polynomial",Profile of immigration.  Total mites over timespan follow one of these curves
TotalImmMites,,Integer,0,,Max value only constrained by data type,Total # mites immigrating into colony
PctImmMitesResistant,,Float,0,100,,% immigrating mites which are resistant to ?
ImmStart,,Date,1/1/100,12/31/9999,Commonly used date strings.,Start Immigration
ImmEnd,,Date,1/1/100,12/31/9999,Commonly used date strings.,End Immigration
ImmEnabled,,Boolean,N/A,N/A,"true, false",Enables or disables immigration
RQEggLayDelay,,Integer,0,,Max value only constrained by data type,Delay in days after a requeening
RQWkrDrnRatio,,Float,N/A,N/A,Unused,N/A
RQReQueenDate,,Date,1/1/100,12/31/9999,Commonly used date strings.,Sets the date of requeening
RQEnableReQueen,,Boolean,N/A,N/A,"true, false",Enables or disables requeening
RQScheduled,,Boolean,N/A,N/A,"true, false",Either establishes Schedule (true) or Automatic (false) requeening
RQQueenStrength,,Float,1,5,,Sets the strength of the requeened queen
RQOnce,,Boolean,N/A,N/A,"true, false",Either establishes a single requeening (true) or requeening every year on this date(false)
VTTreatmentDuration,,Integer,1,,Max value only constrained by data type,
VTMortality,,Float,0,100,,
VTEnable,,Boolean,N/A,N/A,"true, false",
VTTreatmentStart,,Date,1/1/100,12/31/9999,Commonly used date strings.,
InitMitePctResistant,,Float,0,100,,
AIAdultSlope,,Float,1,9,,
AIAdultLD50,,Float,0,100,,"Oral median lethal dose for Adults,in ug/bee"
AIAdultSlopeContact,,Float,1,9,,
